"楷飞喊(1)",楷飞喊(2),2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04
"楷飞喊(1)",楷飞喊(2),何魂堡开矫,何魂堡开矫,何魂堡开矫,吝备,吝备,吝备,辑备,辑备,辑备,悼备,悼备,悼备,康档备,康档备,康档备,何魂柳备,何魂柳备,何魂柳备,悼贰备,悼贰备,悼贰备,巢备,巢备,巢备,合备,合备,合备,秦款措备,秦款措备,秦款措备,荤窍备,荤窍备,荤窍备,陛沥备,陛沥备,陛沥备,碍辑备,碍辑备,碍辑备,楷力备,楷力备,楷力备,荐康备,荐康备,荐康备,荤惑备,荤惑备,荤惑备,扁厘焙,扁厘焙,扁厘焙
"楷飞喊(1)",楷飞喊(2),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙)
"醚拌",家拌,3340214,1633170,1707044,40585,19745,20840,103961,50263,53698,88257,43114,45143,109407,53883,55524,351022,169057,181965,273976,132996,140980,260617,127312,133305,280852,138535,142317,393130,188911,204219,305556,151933,153623,225033,110036,114997,143638,74360,69278,206677,99362,107315,174633,82285,92348,206365,103983,102382,176505,87395,89110
"0技…4技",家拌,85273,43765,41508,418,232,186,1935,993,942,1777,960,817,1786,895,891,8114,4156,3958,7687,3936,3751,5824,2981,2843,7326,3746,3580,9904,5084,4820,7063,3656,3407,4330,2215,2115,8160,4277,3883,5676,2849,2827,4084,2033,2051,4298,2258,2040,6891,3494,3397
"0技…4技",0技,13980,7129,6851,77,46,31,323,174,149,369,193,176,278,137,141,1465,720,745,1278,661,617,863,418,445,1292,670,622,1496,780,716,1128,600,528,634,321,313,1328,687,641,993,484,509,699,321,378,681,371,310,1076,546,530
"0技…4技",1技,15041,7791,7250,65,25,40,336,184,152,336,191,145,296,161,135,1454,754,700,1337,707,630,994,502,492,1272,644,628,1737,872,865,1328,694,634,787,399,388,1347,734,613,1013,525,488,761,384,377,746,381,365,1232,634,598
"0技…4技",2技,16744,8551,8193,74,40,34,377,181,196,333,165,168,350,160,190,1559,775,784,1518,788,730,1143,579,564,1455,726,729,2032,1058,974,1291,669,622,860,448,412,1596,872,724,1135,548,587,811,419,392,865,429,436,1345,694,651
"0技…4技",3技,18626,9434,9192,89,52,37,452,226,226,368,201,167,397,215,182,1737,883,854,1696,840,856,1300,673,627,1549,796,753,2173,1102,1071,1525,741,784,917,454,463,1843,917,926,1256,646,610,874,418,456,907,496,411,1543,774,769
"0技…4技",4技,20882,10860,10022,113,69,44,447,228,219,371,210,161,465,222,243,1899,1024,875,1858,940,918,1524,809,715,1758,910,848,2466,1272,1194,1791,952,839,1132,593,539,2046,1067,979,1279,646,633,939,491,448,1099,581,518,1695,846,849
