"楷飞喊(1)",楷飞喊(2),2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02
"楷飞喊(1)",楷飞喊(2),何魂堡开矫,何魂堡开矫,何魂堡开矫,吝备,吝备,吝备,辑备,辑备,辑备,悼备,悼备,悼备,康档备,康档备,康档备,何魂柳备,何魂柳备,何魂柳备,悼贰备,悼贰备,悼贰备,巢备,巢备,巢备,合备,合备,合备,秦款措备,秦款措备,秦款措备,荤窍备,荤窍备,荤窍备,陛沥备,陛沥备,陛沥备,碍辑备,碍辑备,碍辑备,楷力备,楷力备,楷力备,荐康备,荐康备,荐康备,荤惑备,荤惑备,荤惑备,扁厘焙,扁厘焙,扁厘焙
"楷飞喊(1)",楷飞喊(2),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙),拌 (疙),巢 (疙),咯  (疙)
"醚拌",家拌,3347396,1637111,1710285,40582,19756,20826,104618,50597,54021,88245,43132,45113,109991,54185,55806,351764,169496,182268,273802,132969,140833,260624,127295,133329,281749,139012,142737,394792,189702,205090,306098,152207,153891,226029,110501,115528,143227,74161,69066,207178,99714,107464,174838,82451,92387,207138,104446,102692,176721,87487,89234
"0技…4技",家拌,86546,44455,42091,413,231,182,2007,1025,982,1774,963,811,1821,907,914,8204,4215,3989,7713,3939,3774,5903,3032,2871,7414,3803,3611,10128,5205,4923,7142,3680,3462,4406,2265,2141,8282,4357,3925,5741,2900,2841,4149,2052,2097,4403,2305,2098,7046,3576,3470
"0技…4技",0技,14135,7224,6911,74,44,30,328,176,152,382,210,172,275,136,139,1443,703,740,1258,653,605,881,427,454,1286,669,617,1533,788,745,1139,588,551,680,354,326,1332,707,625,973,486,487,741,344,397,718,384,334,1092,555,537
"0技…4技",1技,15026,7791,7235,71,35,36,339,181,158,313,175,138,303,161,142,1461,760,701,1314,700,614,982,500,482,1285,649,636,1777,903,874,1312,691,621,769,378,391,1356,736,620,1029,532,497,731,363,368,749,381,368,1235,646,589
"0技…4技",2技,17063,8735,8328,64,34,30,402,195,207,339,164,175,368,169,199,1578,792,786,1549,786,763,1174,604,570,1450,737,713,2037,1069,968,1321,677,644,874,464,410,1653,895,758,1168,582,586,830,423,407,865,434,431,1391,710,681
"0技…4技",3技,19057,9694,9363,94,55,39,446,226,220,360,201,159,404,215,189,1821,941,880,1666,846,820,1310,689,621,1599,812,787,2263,1151,1112,1562,776,786,956,474,482,1874,936,938,1278,634,644,911,447,464,954,523,431,1559,768,791
"0技…4技",4技,21265,11011,10254,110,63,47,492,247,245,380,213,167,471,226,245,1901,1019,882,1926,954,972,1556,812,744,1794,936,858,2518,1294,1224,1808,948,860,1127,595,532,2067,1083,984,1293,666,627,936,475,461,1117,583,534,1769,897,872
"5技…9技",家拌,131042,67194,63848,683,349,334,3193,1691,1502,2184,1136,1048,2939,1509,1430,11450,5760,5690,12347,6366,5981,10298,5228,5070,10527,5428,5099,16582,8597,7985,11042,5664,5378,7357,3782,3575,11258,5786,5472,8096,4075,4021,5540,2887,2653,6565,3329,3236,10981,5607,5374
"5技…9技",5技,24043,12175,11868,124,69,55,589,306,283,437,225,212,522,248,274,2189,1114,1075,2168,1105,1063,1768,865,903,1995,1006,989,2842,1450,1392,1961,993,968,1278,653,625,2316,1183,1133,1549,789,760,1075,535,540,1175,601,574,2055,1033,1022
"5技…9技",6技,26561,13670,12891,121,64,57,644,346,298,447,233,214,589,310,279,2317,1159,1158,2479,1272,1207,2075,1062,1013,2174,1142,1032,3304,1705,1599,2221,1142,1079,1469,754,715,2406,1217,1189,1661,894,767,1147,606,541,1331,664,667,2176,1100,1076
"5技…9技",7技,26188,13533,12655,137,71,66,619,328,291,416,220,196,562,288,274,2310,1187,1123,2568,1320,1248,2070,1090,980,2090,1076,1014,3343,1716,1627,2169,1146,1023,1482,776,706,2233,1152,1081,1626,808,818,1096,562,534,1246,640,606,2221,1153,1068
"5技…9技",8技,25846,13219,12627,150,73,77,648,356,292,448,216,232,610,307,303,2175,1088,1087,2390,1243,1147,2119,1082,1037,2077,1057,1020,3342,1744,1598,2148,1106,1042,1499,761,738,2171,1096,1075,1569,752,817,1008,553,455,1308,667,641,2184,1118,1066
"5技…9技",9技,28404,14597,13807,151,72,79,693,355,338,436,242,194,656,356,300,2459,1212,1247,2742,1426,1316,2266,1129,1137,2191,1147,1044,3751,1982,1769,2543,1277,1266,1629,838,791,2132,1138,994,1691,832,859,1214,631,583,1505,757,748,2345,1203,1142
