"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"186","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212017000007","20170823","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 반송동 22-64","부산광역시 해운대구 윗반송로31번길 87-10, 4층 (반송동)","48004","David’s Guest house","20211227101741","U","2021-12-29 02:40:00.0","","396088.133498807","194645.741913709","외국인관광 도시민박업","","준주거지역","4","","","","단독주택","4","0","2","0","","","0","0","","0","0","","0","30","","0","","","","","","","0","","","","30",
"187","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212021000001","20210722","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 송정동 441-10","부산광역시 해운대구 송정광어골로 64-2, 3층 (송정동)","48073","카사블랑카","20210722133754","I","2021-07-24 00:23:01.0","","399954.243483508","188503.174658395","외국인관광 도시민박업","","일반주거지역","4","주택가주변","","","","4","1","1","0","","","0","0","","0","0","","0","85","","0","","","","","","","50000000","","","","85",
"188","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212012000006","20120702","","01","영업/정상","13","영업중","","","","","","","612781","부산광역시 해운대구 좌동 1302 동신아파트 102동 104호","부산광역시 해운대구 좌동순환로217번길 7, 102동 104호 (좌동, 동신아파트)","","유네뜨 홈스테이","20211227100824","U","2021-12-29 02:40:00.0","","398480.822750921","188607.54544303","외국인관광 도시민박업","","일반주거지역","0","아파트지역","","","아파트","0","0","1","0","","","0","0","","0","0","","0","134.88","","0","","","","","","","0","","","","135",
"189","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212014000001","20140104","","01","영업/정상","13","영업중","","","","","","","612021","부산광역시 해운대구 우동 938 롯데아파트 10동 503호","부산광역시 해운대구 해운대로483번길 10, 10동 503호 (우동, 롯데아파트)","","롯데민박","20211227100743","U","2021-12-29 02:40:00.0","","395663.206758157","187124.139219426","외국인관광 도시민박업","","일반주거지역","0","학교정화(상대)","","","아파트","0","0","2","0","","","0","0","","0","0","","0","145.12","","0","","","","","","","0","","","","145",
"190","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212015000010","20150109","","01","영업/정상","13","영업중","","","","","","","612849","부산광역시 해운대구 중동 1504-5","부산광역시 해운대구 달맞이길117번가길 31-2, 101호 (중동)","","시크릿가든B","20211227100848","U","2021-12-29 02:40:00.0","","398273.790570757","186638.542880496","외국인관광 도시민박업","","","0","","","","","0","0","3","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"191","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212015000011","20150119","","01","영업/정상","13","영업중","","","","","","","612850","부산광역시 해운대구 중동 1521-30","부산광역시 해운대구 좌동순환로 415, 401호 (중동)","","미포 게스트하우스","20211227100958","U","2021-12-29 02:40:00.0","","398139.889315683","186896.3488865","외국인관광 도시민박업","","전용주거지역","0","","","","","0","0","2","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"192","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212015000013","20150428","","01","영업/정상","13","영업중","","","","","051-746-1048","","612787","부산광역시 해운대구 우동 993-4","부산광역시 해운대구 해운대해변로 117, 106동 10층 1002호 (우동)","","Homestay in Haeundae","20211227101027","U","2021-12-29 02:40:00.0","","395482.691727393","186791.296146068","외국인관광 도시민박업","","","0","","","","","0","0","1","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"193","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212015000014","20150605","","01","영업/정상","13","영업중","","","","","","","612787","부산광역시 해운대구 우동 1388-4","부산광역시 해운대구 해운대해변로 117, 105동 1002호 (우동)","","안나 맘 홈스테이(Anna mom Homestay)","20211227101049","U","2021-12-29 02:40:00.0","","395512.736663758","186647.018022464","외국인관광 도시민박업","","일반주거지역","0","아파트지역","","","아파트","0","0","1","0","","","0","0","","0","0","","0","163.34","","0","","","","","","","0","","","","163",
"194","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212015000020","20150723","","01","영업/정상","13","영업중","","","","","","","612889","부산광역시 해운대구 우동 1527 해운대자이 1단지 105동 1204호","부산광역시 해운대구 해운대로 435, 105동 1204층 (우동, 해운대자이)","","센텀스테이","20211227101108","U","2021-12-29 02:40:00.0","","395137.883206087","187364.5292925","외국인관광 도시민박업","","일반주거지역","25","아파트지역","","","아파트","22","3","1","0","","","0","0","","0","0","","0","109","","0","","","","","","","15000000","","","","109",
"195","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212015000022","20150804","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 중동","부산광역시 해운대구 구남로41번길 27-1 (중동)","","도담","20211227101128","U","2021-12-29 02:40:00.0","","396949.373762497","186880.049130457","외국인관광 도시민박업","","일반상업지역","0","","","","단독주택","0","0","5","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0",
"196","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212015000025","20151218","","01","영업/정상","13","영업중","","","","","746-4332","","","부산광역시 해운대구 우동","부산광역시 해운대구 마린시티3로 1, 12층 1221호 (우동, 썬프라자)","","마린 하우스","20211227101207","U","2021-12-29 02:40:00.0","","395615.201853958","186406.750870936","외국인관광 도시민박업","","","0","","","","","0","0","1","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"197","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212016000018","20160405","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동","부산광역시 해운대구 마린시티2로 38, 2동 57층 5708호 (우동, 해운대아이파크)","","오션뷰","20211227101623","U","2021-12-29 02:40:00.0","","395164.437852508","186231.014715022","외국인관광 도시민박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"198","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212020000001","20200914","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 좌동 1352-5 산목미술","부산광역시 해운대구 좌동순환로 23, 산목미술 2층 (좌동)","48084","해운대 sunny's house","20210223175920","U","2021-02-25 02:40:00.0","","397276.619475477","187634.751857534","외국인관광 도시민박업","","일반주거지역","","","","","단독주택","","","1","","","","","","","","","","","","","","","","","","","","","","","","",
"199","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212015000024","20151007","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동","부산광역시 해운대구 해운대로 428, 119동 4층 403호 (우동, 동부올림픽타운)","","마망하우스","20211227101145","U","2021-12-29 02:40:00.0","","395088.21080900000","187543.08045600000","외국인관광 도시민박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","0","","0","","","","","","","10000000","","","","0",
"200","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212022000002","20220614","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 655-6","부산광역시 해운대구 해운대로570번길 8, 지하1층 (우동)","48093","MELT(멜트)","20220614180735","I","2022-06-16 00:22:30.0","","396269.278936654","186725.76400407","외국인관광 도시민박업","","","0","","","","","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"201","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212022000003","20220622","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 352-6","부산광역시 해운대구 우동2로 69-2, 3층 (우동)","48085","씨윈드","20220622124636","I","2022-06-24 00:22:30.0","","396376.127846179","187701.449052744","외국인관광 도시민박업","","일반주거지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","55.2","","0","","","","","","","5000000","","","","55",
"202","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212022000004","20220623","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 송정동 949 해운대경보이리스 힐아파트 101동 904호","부산광역시 해운대구 송정광어골로82번길 85-11, 101동 904호 (송정동, 해운대경보이리스 힐아파트)","48073","오어트","20220623161213","I","2022-06-25 00:22:31.0","","399885.553398294","188632.23146851","외국인관광 도시민박업","","일반주거지역","0","","","","아파트","0","0","0","0","","","0","0","","0","0","","0","84.99","","0","","","","","","","20000000","","","","85",
"203","외국인관광도시민박업","03_11_04_P","3330000","CDFI2262212022000001","20220509","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 중동 222","부산광역시 해운대구 대천로42번길 46, 3층 (중동)","48082","해운스위트","20220509094027","I","2022-05-11 00:22:42.0","","397751.017126421","187990.31689434","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0",
"204","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212012000002","20120723","","03","폐업","03","폐업","20180709","","","","265-1576","","","부산광역시 사하구 장림동 185-29번지 장림로얄베스토피아 1동 313호","부산광역시 사하구 다대로227번길 45, 1동 3층 313호 (장림동, 로얄베스토피아아파트)","","영재민박","20180709113512","I","2018-08-31 23:59:59.0","","380398.692072524","177467.830588439","외국인관광 도시민박업","","일반주거지역","","","","","","","","","","","","","","","","","","","117.35","","","","","","","","","","","","","117",
"205","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212015000004","20150827","","03","폐업","03","폐업","20170323","","","","","","","부산광역시 사하구 감천동 2-297번지","부산광역시 사하구 감내1로235번길 22-3, 2층 (감천동)","","우주제작소 SPACE PRODUCTIONS","20170324182001","I","2018-08-31 23:59:59.0","","383134.943847","179545.418214178","외국인관광 도시민박업","","일반주거지역","2","학교정화(상대)","","","단독주택","2","0","","","","","","","","","","","","26","","","","","","","","","","","","","26",
"206","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212015000005","20150519","","03","폐업","03","폐업","20211125","","","","051-337-1174","","604737","부산광역시 사하구 구평동 17 구평자유아파트 105동 102호","부산광역시 사하구 을숙도대로709번길 31, 105동 102호 (구평동, 구평자유아파트)","","apple tree guest house","20211125204404","U","2021-11-27 02:40:00.0","","380973.65147332","178366.851484205","외국인관광 도시민박업","","자연녹지지역","22","아파트지역","","","아파트","19","3","1","","","","","","","","","","","84.6","","","","","","","","","","","","","85",
"207","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212015000006","20150528","","03","폐업","03","폐업","20190625","","","","051-293-1078","","","부산광역시 사하구 다대동 1670번지 다대롯데캐슬블루 108동 2604호","부산광역시 사하구 다송로 23, 108동 2604층 (다대동, 롯데캐슬블루)","","블루캐슬","20190625143556","U","2019-06-27 02:40:00.0","","380819.56184204","175806.418407582","외국인관광 도시민박업","","일반주거지역","37","아파트지역","","","아파트","35","2","1","","","","","","","","","","","84.96","","","","","","","","","","","","","85",
"208","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212016000001","20160729","","03","폐업","03","폐업","20181019","","","","","","","부산광역시 사하구 다대동 120-1번지 현대아파트 107동 2506호","부산광역시 사하구 다대로 473, 107동 25층 6호 (다대동, 현대아파트)","49520","그린게스트하우스","20181019114233","U","2018-10-21 02:36:22.0","","380398.062015138","175314.286676535","외국인관광 도시민박업","","주거지역","25","학교정화(상대)","","","아파트","25","1","4","","","","","","","","","","","185.23","","","","","","","","","","","","","185",
"209","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212016000002","20160829","","03","폐업","03","폐업","20170131","","","","051-202-9282","","","부산광역시 사하구 하단동 1175번지 가락타운2단지아파트 207동 201호","부산광역시 사하구 하신번영로 233, 207동 2층 201호 (하단동, 가락타운2단지아파트)","49430","을숙도 게스트하우스","20170201090429","I","2018-08-31 23:59:59.0","","378401.951685174","179765.487232251","외국인관광 도시민박업","","일반주거지역","20","아파트지역","","","아파트","20","2","1","","","","","","","","","","","84.93","","","","","","","","","","","","","85",
"210","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212018000001","20180718","","03","폐업","03","폐업","20190614","","","","","","","부산광역시 사하구 당리동 301-1번지","부산광역시 사하구 승학로3번길 2, 4층 (당리동)","49316","Dreaming rooftop room","20190614161001","U","2019-06-16 02:40:00.0","","379468.803928641","180391.539767874","외국인관광 도시민박업","","일반주거지역","4","","","","단독주택","4","","1","","","","","","","","","","","165.3","","","","","","","","","","","","","165",
"211","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212015000001","20150812","","01","영업/정상","13","영업중","","","","","051-207-1212","","","부산광역시 사하구 감천동 10-13","부산광역시 사하구 감내1로 200 (감천동)","","감천문화마을 어울터 게스트하우스","20220414145703","U","2022-04-16 02:40:00.0","","383161.989083186","179309.730417252","외국인관광 도시민박업","","일반주거지역","5","학교정화(상대)","","","다가구용 주택(공동주택적용)","4","1","3","","Gamcheon Culture Village Community Guesthouse","Home-stay for foreign tourists","","","","","","","","96.08","","","","","","","","","24000000","","","","96",
"212","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212015000002","20151230","","01","영업/정상","13","영업중","","","","","051-207-1212","","","부산광역시 사하구 감천동 10-36","부산광역시 사하구 감내1로224번길 7 (감천동)","","방가방가게스트하우스(풍경집)","20220414135318","U","2022-04-16 02:40:00.0","","383183.24342004","179408.912357161","외국인관광 도시민박업","","일반주거지역","1","주택가주변","","","단독주택","1","","4","","","","","","","","","","","124.56","","","","","","","","","","","","","125",
"213","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212015000003","20151230","","01","영업/정상","13","영업중","","","","","051-207-1212","","","부산광역시 사하구 감천동 10-45","부산광역시 사하구 감내1로 218 (감천동)","","방가방가게스트하우스(마당집)","20220414145256","U","2022-04-16 02:40:00.0","","383170.390605048","179414.29619572","외국인관광 도시민박업","","일반주거지역","1","주택가주변","","","단독주택","1","","2","","","","","","","","","","","68.82","","","","","","","","","","","","","69",
"214","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212017000001","20170310","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사하구 감천동 2-250번지","부산광역시 사하구 감내1로 245-2 (감천동)","49364","하우스피플(House People)","20190221102219","U","2019-02-23 02:40:00.0","","383198.275520824","179515.426487714","외국인관광 도시민박업","","일반주거지역","1","주택가주변","","","단독주택","1","0","2","","House People","Foreign Tourists Cities minbageop","","","","","","","","21.6","","","","","","","","","15000000","","","","22",
"215","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212017000002","20171229","","01","영업/정상","13","영업중","","","","","051-207-1212","","","부산광역시 사하구 감천동 10-16","부산광역시 사하구 감내1로224번길 20-2 (감천동)","","감천문화마을 방가방가 게스트 하우스 하늘집","20220414145521","U","2022-04-16 02:40:00.0","","383179.539537888","179386.921815148","외국인관광 도시민박업","","","","","","","단독주택","1","","2","","","","","","","","","","","54.08","","","","","","","","","","","","","54",
"216","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212021000002","20210826","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사하구 다대동 1552-19 성원아파트","부산광역시 사하구 다대낙조1길 42, 103동 8층 802호 (다대동, 성원아파트)","49507","솔앤별스테이","20211012151749","U","2021-10-14 02:40:00.0","","379536.149444753","173969.719902491","외국인관광 도시민박업","","일반주거지역","25","학교정화(상대)","","","아파트","0","0","2","0","","","0","0","","0","0","","0","134.96","","0","","","","","","","0","","","","135",
"217","외국인관광도시민박업","03_11_04_P","3340000","CDFI2262212021000001","20210324","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사하구 감천동 31-1","부산광역시 사하구 감천로139번길 39 (감천동)","49375","감천하텔","20210702175249","U","2021-07-04 02:40:00.0","","382892.97830771","178418.253553973","외국인관광 도시민박업","","일반주거지역","4","주택가주변","","","단독주택","4","","1","","","","","","","","","","","40.46","","","","","","","","","2000000","","","","40",
"218","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212014000002","20140326","","03","폐업","03","폐업","20191210","","","","","","609391","부산광역시 금정구 장전동 732번지 금정산쌍용예가아파트","부산광역시 금정구 금강로379번길 50, 101동 1701호 (장전동)","","쥬디하우스(Judy House)","20191209181735","U","2019-12-11 02:40:00.0","","389664.786093479","195729.022283849","외국인관광 도시민박업","","일반주거지역","","아파트지역","","","아파트","","","","","","","","","","","","","","84.86","","","","","","","","","","","","","85",
"219","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212014000003","20140613","","03","폐업","03","폐업","20170327","","","","","","609843","부산광역시 금정구 청룡동 33-11번지","부산광역시 금정구 금강로740번길 17 (청룡동)","","HOJO Guest House","20170327145437","I","2018-08-31 23:59:59.0","","390096.552367228","199145.399109213","외국인관광 도시민박업","","일반주거지역","2","학교정화(상대)","","","단독주택","2","1","2","","","","","","","","","","","146.12","","","","","","","","","","","","","146",
"220","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212015000001","20150514","","03","폐업","03","폐업","20161117","","","","051-582-9633","","609706","부산광역시 금정구 부곡동 970번지","부산광역시 금정구 동부곡로15번길 76, 104동 1003호 (부곡동)","","sunny home","20161118183613","I","2018-08-31 23:59:59.0","","390619.530569467","194261.641002169","외국인관광 도시민박업","","일반주거지역","","","","","아파트","11","","","","","","","","","","","","","84.9","","","","","","","","","","","","","85",
"221","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212016000001","20160712","","03","폐업","03","폐업","20200722","","","","","","","부산광역시 금정구 남산동 989-43","부산광역시 금정구 남산로51번길 4 (남산동)","46223","LIA HOUSE","20200723155832","U","2020-07-25 02:40:00.0","","389789.647342722","198382.615185998","외국인관광 도시민박업","","일반주거지역","","주택가주변","","","다가구용 주택(공동주택적용)","2","","1","","","","","","","","","","","96.33","","","","","","","","","","","","","96",
"222","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212016000002","20160712","","03","폐업","03","폐업","20180628","","","","","","","부산광역시 금정구 장전동 732번지 금정산쌍용예가아파트 105동 1704호","부산광역시 금정구 금강로379번길 50, 105동 1704호 (장전동, 금정산쌍용예가아파트)","46246","Wonderful memories guest house","20180629085917","I","2018-08-31 23:59:59.0","","389664.786093479","195729.022283849","외국인관광 도시민박업","","일반주거지역","","아파트지역","","","아파트","17","","2","","","","","","","","","","","74.04","","","","","","","","","","","","","74",
"223","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212016000004","20160229","","03","폐업","03","폐업","20200219","","","","","","","부산광역시 금정구 장전동 269-3번지 장전현대아파트 1408호","부산광역시 금정구 금강로279번길 61, 1408호 (장전동, 현대2차아파트)","","Busan Spa Guest House","20200219100201","U","2020-02-21 02:40:00.0","","389584.223083713","194835.616428662","외국인관광 도시민박업","","일반주거지역","","아파트지역","","","아파트","","","2","","","","","","","","","","","84.69","","","","","","","","","","","","","85",
"224","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212017000001","20170329","","03","폐업","03","폐업","20180130","","","","007073997921","","","부산광역시 금정구 남산동 16-13번지","부산광역시 금정구 팔송로 24 (남산동)","46218","호조하우스","20180130160429","I","2018-08-31 23:59:59.0","","390100.591479331","198990.797731711","외국인관광 도시민박업","","일반주거지역","4","학교정화(상대)","","","","3","1","","","","","","","","","","","","141","","","","","","","","","","","","","141",
"225","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212017000002","20170331","","03","폐업","03","폐업","20210107","","","","","","","부산광역시 금정구 장전동 263-107 유진빌라 나동 203호","부산광역시 금정구 금강로279번길 111, 나동 203호 (장전동, 유진빌라)","46287","쉴라 게스트 하우스","20211222180302","U","2021-12-24 02:40:00.0","","389607.448042961","195011.800063567","외국인관광 도시민박업","","일반주거지역","0","","","","연립주택","0","0","2","0","","","0","0","","0","0","","0","66","","0","","","","","","","0","","","","66",
"226","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212018000001","20180711","","03","폐업","03","폐업","20200803","","","","","","","부산광역시 금정구 장전동 365-10","부산광역시 금정구 장전온천천로101번길 10-2 (장전동)","46284","니하오부산","20200803162952","U","2020-08-05 02:40:00.0","","390075.410592755","194773.282563976","외국인관광 도시민박업","","주거지역","2","주택가주변","","","단독주택","2","","","","","","","","","","","","","141","","","","","","","","","","","","","141",
"227","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212019000001","20190716","","01","영업/정상","13","영업중","","","","","","","","부산광역시 금정구 장전동 382-26","부산광역시 금정구 금정로 116, 2층 (장전동)","46284","단디하우스 부산대","20211222180101","U","2021-12-24 02:40:00.0","","389974.2561175","194843.71971991","외국인관광 도시민박업","","주거지역","2","주택가주변","","","단독주택","2","0","3","0","","","0","0","","0","0","","0","78.05","","0","","","","","","","30000000","","","","78",
